title: small/medium graph
milestones: 900
source: 0
0	9	37
0	10	17
0	12	50
0	13	3
0	14	46
0	15	49
0	16	6
0	17	39
0	18	45
1	10	6
1	11	7
1	12	25
1	13	42
1	14	6
1	15	2
1	16	25
1	17	40
1	18	19
2	9	9
2	10	23
2	11	7
2	12	19
2	13	40
2	14	19
2	15	3
2	16	43
2	17	18
2	18	41
3	9	36
3	11	39
3	12	11
3	13	34
3	14	27
3	15	29
3	16	33
3	17	44
3	18	12
4	9	26
4	10	39
4	11	31
4	12	6
4	14	25
4	15	46
4	16	33
4	17	1
4	18	41
5	9	7
5	10	35
5	11	39
5	12	1
5	13	14
5	14	43
5	15	12
5	16	22
5	17	2
5	18	34
6	9	24
6	10	27
6	11	21
6	12	49
6	13	35
6	14	31
6	15	2
6	16	10
6	18	12
7	9	49
7	11	32
7	12	39
7	13	37
7	14	42
7	15	35
7	16	29
7	17	35
7	18	22
8	9	23
8	10	24
8	11	48
8	12	18
8	13	20
8	14	21
8	15	4
8	16	11
8	17	29
0	19	41
0	20	37
0	21	1
0	22	40
0	23	15
0	24	17
1	19	20
1	21	17
1	22	12
1	23	39
1	24	48
2	19	22
2	20	44
2	21	45
2	22	49
2	23	35
2	24	48
3	19	33
3	20	5
3	21	31
3	22	36
3	23	36
3	24	12
4	19	49
4	20	31
4	21	42
4	22	19
4	23	45
4	24	22
5	19	6
5	20	2
5	22	50
5	23	38
5	24	10
6	19	46
6	20	43
6	21	13
6	22	27
6	23	18
6	24	49
7	19	43
7	20	25
7	21	22
7	22	29
7	23	42
7	24	14
8	19	5
8	20	43
8	22	4
8	23	28
8	24	42
9	20	14
9	21	12
9	22	23
9	23	39
9	24	38
10	19	26
10	20	50
10	21	23
10	23	39
10	24	12
11	19	20
11	20	37
11	21	7
11	22	5
11	23	6
11	24	15
12	19	13
12	21	24
12	22	21
12	23	2
13	19	3
13	20	46
13	22	34
13	23	19
13	24	47
14	19	27
14	20	32
14	21	26
14	22	47
14	23	46
14	24	40
15	19	28
15	20	32
15	22	35
16	19	45
16	20	35
16	21	28
16	22	20
16	23	7
16	24	44
17	19	27
17	20	5
17	21	31
17	22	6
